EmployeeID,FirstName,Department,JobRole,Age,Gender,MaritalStatus,Education,State,City,HireDate,TerminationDate,Attrition,MonthlySalary,AnnualSalary,JobSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,DistanceFromHomeKM,NumCompaniesWorked,TrainingHoursLastYear,TenureYears,AgeGroup,SalaryBand,IsAttrited
114361,Employee114361,Surgery,Anesthesiologist,33,Male,Married,Bachelor's Degree,CT,Hartford,2016-12-18,,No,11150.0,133800.0,3,3.0,2,No,1.0,1,19,9.04,30-39,120K+,0
114447,Employee114447,Human Resources,Recruiter,56,Male,Single,Bachelor's Degree,NJ,Trenton,2016-05-24,2017-03-13,Yes,5175.0,62100.0,1,1.0,4,Yes,51.3,2,19,0.8,50-59,50-70K,1
104699,Employee104699,Radiology,Radiologist,28,Male,Divorced,Associate Degree,PA,Allentown,2015-09-04,,No,10500.0,126000.0,1,2.0,3,Yes,11.1,1,46,10.33,20-29,120K+,0
111835,Employee111835,Human Resources,Recruiter,41,Male,Married,Associate Degree,NJ,Trenton,2015-11-24,,No,5175.0,62100.0,4,3.0,2,Yes,34.2,1,50,10.11,40-49,50-70K,0
102182,Employee102182,Lab Services,Lab Manager,29,Male,Married,Bachelor's Degree,NY,Syracuse,2017-03-18,,No,10950.0,131400.0,2,3.0,3,No,12.5,0,34,8.79,20-29,120K+,0
108407,Employee108407,Radiology,Imaging Specialist,32,Male,Married,Associate Degree,MA,Springfield,2023-12-07,2024-02-13,Yes,6883.33,82600.0,5,2.0,2,No,3.9,1,13,0.19,30-39,70-90K,1
105415,Employee105415,Emergency,ER Nurse,42,Female,Married,High School,PA,Pittsburgh,2024-09-13,2025-03-26,Yes,5558.33,66700.0,2,2.0,2,Yes,11.4,1,32,0.53,40-49,50-70K,1
109522,Employee109522,Emergency,ER Nurse,37,Male,Divorced,Master's Degree,NY,Rochester,2015-10-14,2019-11-14,Yes,7275.0,87300.0,2,2.0,1,Yes,7.7,1,24,4.08,30-39,70-90K,1
114391,Employee114391,Nursing,Charge Nurse,39,Male,Divorced,Bachelor's Degree,MA,Boston,2014-08-25,,No,7800.0,93600.0,3,4.0,3,No,3.2,2,19,11.35,30-39,90-120K,0
106856,Employee106856,It,Network Engineer,51,Male,Single,Associate Degree,MA,Worcester,2018-06-16,,No,6433.33,77200.0,3,2.0,2,Yes,8.7,2,32,7.55,50-59,70-90K,0
101303,Employee101303,Human Resources,HR Generalist,44,Male,Married,Master's Degree,MA,Boston,2022-02-07,,No,4425.0,53100.0,3,2.0,3,No,5.0,2,48,3.9,40-49,50-70K,0
101350,Employee101350,Administration,Records Clerk,46,Female,Married,Not Specified,CT,New Haven,2021-02-23,,No,4258.33,51100.0,3,4.0,4,No,8.4,3,45,4.85,40-49,50-70K,0
109527,Employee109527,Human Resources,Recruiter,44,Male,Married,Master's Degree,NJ,Trenton,2017-03-05,,No,5933.33,71200.0,3,2.0,3,No,2.2,2,32,8.83,40-49,70-90K,0
111202,Employee111202,Administration,Office Manager,21,Female,Married,Bachelor's Degree,MA,Boston,2016-12-16,,No,10500.0,126000.0,4,4.0,3,No,36.6,0,40,9.04,20-29,120K+,0
109456,Employee109456,Lab Services,Phlebotomist,26,Non-Binary,Married,High School,CT,Stamford,2020-09-07,,No,4566.67,54800.0,4,3.0,2,No,2.0,2,66,5.32,20-29,50-70K,0
107078,Employee107078,It,Data Analyst,24,Female,Divorced,Associate Degree,CT,Stamford,2021-04-03,,No,7241.67,86900.0,4,3.0,3,Yes,33.4,1,28,4.75,20-29,70-90K,0
106428,Employee106428,Human Resources,HR Generalist,33,Male,Divorced,Bachelor's Degree,MA,Boston,2014-05-07,,No,5416.67,65000.0,3,2.0,2,No,11.6,1,19,11.66,30-39,50-70K,0
111837,Employee111837,Radiology,Radiologist,38,Non-Binary,Single,High School,NJ,Newark,2020-04-11,,No,9816.67,117800.0,1,3.0,4,No,2.4,3,4,5.72,30-39,90-120K,0
108508,Employee108508,Radiology,Radiologist,41,Male,Married,Bachelor's Degree,CT,Hartford,2021-01-13,2022-02-16,Yes,10225.0,122700.0,4,1.0,3,No,24.1,1,39,1.09,40-49,120K+,1
101543,Employee101543,Lab Services,Lab Technician,47,Male,Divorced,Bachelor's Degree,CT,New Haven,2022-01-11,,No,4550.0,54600.0,1,4.0,2,Yes,6.6,4,27,3.97,40-49,50-70K,0
110042,Employee110042,Finance,Billing Specialist,47,Female,Divorced,Bachelor's Degree,MA,Boston,2017-11-30,,No,7433.33,89200.0,1,3.0,2,No,15.6,2,23,8.09,40-49,70-90K,0
101650,Employee101650,Radiology,Imaging Specialist,35,Male,Single,High School,PA,Philadelphia,2014-04-02,2020-07-17,Yes,7925.0,95100.0,2,4.0,2,No,14.5,4,10,6.29,30-39,90-120K,1
111255,Employee111255,Pharmacy,Pharmacy Technician,36,Female,Single,Bachelor's Degree,CT,Hartford,2019-08-05,,No,4941.67,59300.0,3,3.0,3,Yes,15.3,3,49,6.41,30-39,50-70K,0
101200,Employee101200,Lab Services,Lab Technician,36,Male,Married,Associate Degree,NY,Rochester,2018-09-13,2023-09-27,Yes,5058.33,60700.0,2,2.0,3,No,7.6,3,9,5.04,30-39,50-70K,1
105686,Employee105686,It,IT Support,44,Female,Single,Bachelor's Degree,CT,New Haven,2024-02-17,2025-09-14,Yes,4458.33,53500.0,3,2.0,3,Yes,7.8,5,40,1.57,40-49,50-70K,1
111517,Employee111517,Patient Support,Patient Coordinator,48,Male,Divorced,Master's Degree,NJ,Trenton,2020-12-11,2022-10-03,Yes,4800.0,57600.0,2,1.0,1,Yes,15.8,2,33,1.81,40-49,50-70K,1
108778,Employee108778,Lab Services,Lab Technician,23,Male,Married,Bachelor's Degree,NY,Buffalo,2016-07-06,,No,5125.0,61500.0,1,2.0,3,Yes,12.2,1,31,9.49,20-29,50-70K,0
113321,Employee113321,Lab Services,Phlebotomist,48,Female,Married,High School,NY,Syracuse,2015-05-30,,No,5141.67,61700.0,2,4.0,3,Yes,16.2,3,47,10.59,40-49,50-70K,0
104053,Employee104053,Radiology,Radiologic Technologist,45,Male,Single,Master's Degree,PA,Pittsburgh,2022-10-24,,No,6491.67,77900.0,2,1.0,3,No,32.1,2,47,3.19,40-49,70-90K,0
107109,Employee107109,Facilities,Facilities Manager,33,Non-Binary,Married,Master's Degree,MA,Springfield,2014-07-20,,No,11475.0,137700.0,3,4.0,1,No,7.2,1,13,11.45,30-39,120K+,0
103377,Employee103377,Finance,Accountant,33,Male,Single,Master's Degree,NJ,Jersey City,2016-04-02,,No,5333.33,64000.0,3,2.0,4,No,9.2,1,51,9.75,30-39,50-70K,0
100299,Employee100299,Emergency,ER Nurse,50,Male,Single,Bachelor's Degree,CT,Hartford,2019-05-08,,No,6250.0,75000.0,3,5.0,3,No,52.0,3,27,6.65,50-59,70-90K,0
108542,Employee108542,Human Resources,Benefits Coordinator,27,Female,Married,Bachelor's Degree,CT,New Haven,2023-05-28,,No,4866.67,58400.0,3,4.0,4,No,1.0,1,39,2.6,20-29,50-70K,0
112407,Employee112407,Emergency,ER Physician,53,Male,Divorced,Bachelor's Degree,CT,Hartford,2018-06-28,,No,10608.33,127300.0,3,5.0,4,Yes,31.0,3,48,7.51,50-59,120K+,0
105027,Employee105027,Surgery,Anesthesiologist,38,Female,Divorced,Associate Degree,PA,Allentown,2024-01-11,,No,10150.0,121800.0,4,3.0,4,No,1.8,2,10,1.97,30-39,120K+,0
106373,Employee106373,Pharmacy,Pharmacy Technician,43,Male,Married,Bachelor's Degree,NY,Syracuse,2022-02-23,,No,4458.33,53500.0,3,4.0,3,Yes,7.9,3,37,3.85,40-49,50-70K,0
113541,Employee113541,Emergency,ER Physician,35,Female,Divorced,Master's Degree,MA,Boston,2016-08-12,,No,11725.0,140700.0,4,2.0,4,No,9.2,3,30,9.39,30-39,120K+,0
100610,Employee100610,Administration,Admin Assistant,48,Male,Divorced,Associate Degree,MA,Springfield,2019-07-07,,No,4333.33,52000.0,4,3.0,4,No,2.1,3,21,6.49,40-49,50-70K,0
108488,Employee108488,Facilities,Custodian,27,Female,Married,Associate Degree,MA,Springfield,2019-05-10,,No,4750.0,57000.0,3,3.0,2,No,2.5,1,23,6.65,20-29,50-70K,0
105322,Employee105322,Facilities,Custodian,38,Female,Single,Master's Degree,NY,Buffalo,2020-08-05,,No,5883.33,70600.0,2,4.0,1,Yes,10.9,3,25,5.41,30-39,70-90K,0
112754,Employee112754,Facilities,Facilities Manager,44,Female,Married,Associate Degree,NY,Syracuse,2015-08-11,,No,9758.33,117100.0,4,4.0,2,No,1.6,1,43,10.39,40-49,90-120K,0
104921,Employee104921,Facilities,Maintenance Tech,34,Female,Married,Master's Degree,PA,Allentown,2015-11-26,,No,5633.33,67600.0,3,1.0,4,No,9.3,0,47,10.1,30-39,50-70K,0
107647,Employee107647,Nursing,Staff Nurse,46,Male,Married,High School,CT,Hartford,2022-04-16,,No,6100.0,73200.0,1,1.0,2,No,25.6,2,2,3.71,40-49,70-90K,0
109080,Employee109080,Human Resources,Recruiter,37,Female,Single,Master's Degree,MA,Springfield,2019-11-21,,No,5400.0,64800.0,3,2.0,2,Yes,10.0,1,24,6.11,30-39,50-70K,0
111806,Employee111806,Lab Services,Lab Technician,34,Female,Single,High School,MA,Worcester,2015-10-16,,No,4233.33,50800.0,1,4.0,2,No,5.2,1,66,10.21,30-39,50-70K,0
110038,Employee110038,It,Data Analyst,32,Male,Married,Associate Degree,MA,Worcester,2021-03-12,,No,6925.0,83100.0,2,1.0,2,No,1.8,1,14,4.81,30-39,70-90K,0
102996,Employee102996,Administration,Office Manager,40,Male,Married,Master's Degree,PA,Philadelphia,2021-07-03,,No,11450.0,137400.0,2,4.0,3,No,22.6,0,20,4.5,40-49,120K+,0
100691,Employee100691,Administration,Records Clerk,53,Male,Divorced,Bachelor's Degree,NJ,Newark,2023-01-24,,No,5150.0,61800.0,4,1.0,3,Yes,1.0,6,18,2.94,50-59,50-70K,0
110294,Employee110294,Surgery,Surgical Tech,38,Male,Divorced,Doctorate,MA,Worcester,2018-11-30,,No,6783.33,81400.0,3,1.0,4,No,17.3,1,45,7.09,30-39,70-90K,0
109856,Employee109856,Finance,Accountant,38,Female,Married,Master's Degree,PA,Allentown,2022-01-28,,No,4883.33,58600.0,4,3.0,3,Yes,1.0,0,19,3.93,30-39,50-70K,0
108921,Employee108921,Human Resources,HR Manager,35,Male,Divorced,Doctorate,MA,Boston,2021-02-12,2021-05-20,Yes,11841.67,142100.0,3,2.0,3,No,12.5,4,27,0.27,30-39,120K+,1
103978,Employee103978,Facilities,Facilities Manager,40,Female,Single,High School,PA,Pittsburgh,2021-01-27,2023-08-16,Yes,9816.67,117800.0,3,4.0,2,No,27.5,3,33,2.55,40-49,90-120K,1
100428,Employee100428,Facilities,Facilities Manager,34,Male,Married,Doctorate,CT,Hartford,2017-03-19,,No,11841.67,142100.0,2,2.0,2,Yes,3.0,4,28,8.79,30-39,120K+,0
113825,Employee113825,Nursing,ICU Nurse,32,Male,Single,Bachelor's Degree,NJ,Newark,2020-11-01,,No,6516.67,78200.0,1,2.0,2,No,1.0,2,18,5.17,30-39,70-90K,0
107591,Employee107591,Emergency,ER Nurse,27,Male,Divorced,Master's Degree,NJ,Jersey City,2022-10-25,2024-12-19,Yes,6516.67,78200.0,2,2.0,1,Yes,7.2,4,19,2.15,20-29,70-90K,1
106039,Employee106039,Facilities,Maintenance Tech,39,Male,Married,High School,PA,Pittsburgh,2024-01-13,,No,4725.0,56700.0,3,2.0,1,No,20.2,3,23,1.97,30-39,50-70K,0
113493,Employee113493,Lab Services,Lab Technician,26,Female,Married,Bachelor's Degree,NJ,Newark,2016-05-17,,No,5208.33,62500.0,2,3.0,3,No,2.6,6,37,9.63,20-29,50-70K,0
